propertyCode,propertyType,municipality,status,numPhotos,rooms,bathrooms,floor,size,priceByArea,parkingSpacePrice,exterior,hasVideo,hasPlan,has3DTour,has360,hasLift,isFinished,hasParkingSpace,isParkingSpaceIncludedInPrice,latitude,longitude,price
98096690,chalet,Playa Puig,good,25,5,2,0,300.0,8.0,0.0,False,False,False,False,False,False,True,True,True,39.5828106,-0.2724987,2500.0
98084513,chalet,Bétera,good,34,5,3,0,300.0,8.0,0.0,False,False,False,False,False,False,True,True,True,39.5781178,-0.4909362,2400.0
98028545,flat,València,good,23,3,2,2,120.0,10.0,0.0,True,False,False,False,False,True,True,True,True,39.4519841,-0.3856457,1200.0
94475094,flat,Xeraco,good,21,3,2,1,80.0,8.0,0.0,True,True,True,False,False,False,True,True,True,39.056701,-0.1998323,600.0
90182042,flat,València,good,26,4,2,4,140.0,9.0,0.0,True,False,False,False,False,True,True,False,False,39.4829428,-0.3605451,1200.0
98312282,flat,València,good,32,2,1,3,72.0,10.0,0.0,True,True,True,False,False,False,True,False,False,39.4752221,-0.3294874,699.0
98206932,flat,València,good,19,3,2,2,90.0,18.0,0.0,True,False,False,False,False,True,True,False,False,39.4734128,-0.3607177,1650.0
91931344,penthouse,València,good,13,2,1,7,98.0,14.0,0.0,True,False,True,False,False,True,True,False,False,39.465283,-0.3697758,1400.0
98124772,flat,València,good,14,2,2,5,105.0,17.0,0.0,True,False,False,False,False,False,True,False,False,39.4698733,-0.3743595,1800.0
98088351,penthouse,València,good,17,1,1,7,70.0,23.0,0.0,True,False,False,False,False,True,True,False,False,39.4696376,-0.3698025,1600.0
97852486,chalet,Carpesa,good,41,3,2,0,280.0,4.0,0.0,False,False,False,False,False,False,True,True,True,39.5175005,-0.3768769,1200.0
97470636,penthouse,València,good,21,3,1,7,92.0,11.0,0.0,True,False,False,False,False,True,True,False,False,39.4754065,-0.3591971,1000.0
98254030,chalet,Náquera,good,17,3,4,0,280.0,13.0,0.0,False,False,False,False,False,False,True,False,False,39.6404596,-0.4326978,3600.0
98223324,flat,Puerto de Sagunto,good,10,2,1,5,100.0,8.0,0.0,True,False,False,False,False,True,True,False,False,39.6641303,-0.2282482,750.0
98210135,chalet,Bétera,good,18,4,4,0,222.0,7.0,0.0,False,False,False,False,False,False,True,True,True,39.5882164,-0.4655422,1650.0
98209959,flat,València,good,26,4,2,4,110.0,7.0,0.0,True,False,False,False,False,True,True,True,True,39.4628084,-0.4013915,800.0
98180752,flat,València,good,15,2,2,2,88.0,39.0,0.0,True,False,False,False,False,True,True,True,True,39.4774946,-0.3276904,3400.0
98177691,flat,València,good,15,4,2,4,200.0,10.0,0.0,True,False,False,False,False,True,True,False,False,39.4727106,-0.3795104,1900.0
98142692,flat,València,good,12,2,2,1,78.0,16.0,0.0,True,False,False,False,False,False,True,False,False,39.4754849,-0.3795036,1250.0
98121283,penthouse,Burjassot,good,20,2,2,5,65.0,15.0,0.0,True,False,False,False,False,False,True,False,False,39.507202,-0.4109477,950.0
98115928,flat,València,good,19,5,2,5,190.0,13.0,0.0,True,False,False,False,False,True,True,False,False,39.462862,-0.3827407,2500.0
98003268,flat,València,good,75,4,3,13,257.0,10.0,0.0,True,False,True,False,False,True,True,True,True,39.4659827,-0.3822438,2500.0
38440476,flat,València,good,26,2,2,1,70.0,23.0,0.0,True,False,False,False,False,False,True,False,False,39.4774642,-0.3269531,1600.0
85847017,flat,València,good,22,2,1,1,85.0,14.0,0.0,True,False,False,False,False,True,True,False,False,39.4628574,-0.3452931,1200.0
96701342,flat,València,good,9,3,2,4,80.0,19.0,0.0,True,False,False,False,False,True,True,False,False,39.4739733,-0.3992661,1500.0
98285535,flat,València,good,37,2,1,2,80.0,11.0,80.0,True,True,True,False,False,True,True,True,False,39.4565706,-0.3341955,890.0
98308269,flat,Alfafar,good,21,3,1,1,85.0,9.0,0.0,True,True,True,False,False,True,True,False,False,39.4182399,-0.4009237,749.0
98298275,flat,València,good,33,4,2,1,125.0,11.0,0.0,True,False,True,False,False,True,True,False,False,39.4709562,-0.3480788,1350.0
97878956,duplex,València,good,28,2,2,4,112.0,17.0,0.0,True,True,True,False,False,True,True,False,False,39.4717519,-0.3763605,1950.0
98308345,flat,Torrent,good,21,3,1,2,99.0,9.0,0.0,True,False,False,False,False,True,True,False,False,39.4324865,-0.4739986,850.0
32896960,chalet,Godella,good,42,4,5,0,340.0,8.0,0.0,False,False,True,False,False,False,True,True,True,39.5322604,-0.4257082,2700.0
98278577,flat,València,good,50,4,3,12,187.0,10.0,0.0,True,True,True,False,False,True,True,True,True,39.4451162,-0.3759794,1850.0
98276514,flat,Daimus,good,57,3,2,1,100.0,8.0,0.0,True,True,False,False,False,True,True,True,True,38.9784428,-0.1435664,750.0
98101338,duplex,València,good,30,1,2,0,96.0,11.0,0.0,True,True,True,False,False,True,True,True,True,39.4498799,-0.36447,1100.0
97972899,chalet,Massamagrell,good,47,3,3,0,126.0,7.0,0.0,False,False,False,False,False,False,True,False,False,39.5758237,-0.3517575,850.0
97949569,chalet,Godella,good,30,4,2,0,240.0,10.0,0.0,False,False,False,False,False,False,True,True,True,39.5215665,-0.4253883,2400.0
97948644,flat,València,good,42,1,1,1,75.0,17.0,0.0,True,False,False,False,False,False,True,False,False,39.4737712,-0.3816205,1300.0
97902134,penthouse,València,good,46,4,3,10,176.0,11.0,0.0,True,False,False,False,False,True,True,True,True,39.4562455,-0.3447195,1850.0
97887112,flat,Playa Puig,good,34,3,2,17,99.0,10.0,0.0,True,False,False,False,False,True,True,False,False,39.5760412,-0.2792814,1000.0
97853288,chalet,Moncada,good,53,4,2,0,550.0,6.0,0.0,False,False,False,False,False,False,True,True,True,39.5479304,-0.3902353,3200.0
97811755,flat,Burjassot,good,83,3,1,3,86.0,9.0,0.0,True,False,False,False,False,False,True,False,False,39.5089449,-0.4104808,740.0
97811381,chalet,San Antonio de Benagéber,good,26,3,3,0,188.0,9.0,0.0,False,False,False,False,False,False,True,True,True,39.5612388,-0.509585,1750.0
97809225,flat,València,good,30,4,1,1,122.0,13.0,0.0,True,False,False,False,False,True,True,False,False,39.4811259,-0.3777829,1600.0
97797630,chalet,Puig,good,27,1,2,0,257.0,6.0,0.0,False,False,False,False,False,False,True,True,True,39.5897861,-0.3072833,1500.0
97796837,flat,València,good,25,2,1,1,90.0,12.0,0.0,True,False,False,False,False,False,True,False,False,39.464346,-0.328924,1050.0
97746344,flat,València,good,46,3,2,3,138.0,11.0,0.0,True,False,False,False,False,True,True,False,False,39.4650126,-0.371101,1500.0
97706041,flat,València,good,26,2,2,5,50.0,40.0,0.0,True,False,False,False,False,False,True,False,False,39.4729733,-0.3737595,2000.0
