propertyCode,numPhotos,floor,price,propertyType,size,exterior,rooms,bathrooms,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,newDevelopmentFinished,hasParkingSpace,isParkingSpaceIncludedInPrice,parkingSpacePrice,cluster_label
86602464,27,1,2000.0,flat,430.0,True,4,2,False,good,False,True,5.0,False,False,False,False,False,True,False,False,0.0,0
85320130,38,10,1600.0,flat,85.0,True,1,1,False,good,False,True,19.0,False,False,False,False,False,True,False,False,0.0,0
85319686,27,3,1600.0,flat,46.0,True,1,1,False,good,False,False,35.0,False,False,False,False,False,True,False,False,0.0,0
98034061,15,1,1200.0,flat,101.0,True,3,2,True,good,False,True,12.0,False,False,False,False,False,True,True,True,0.0,0
98034052,11,1,700.0,flat,110.0,True,2,1,False,good,False,True,6.0,False,False,False,False,False,True,True,True,0.0,0
98034003,22,1,800.0,flat,80.0,True,4,1,False,good,False,True,10.0,False,False,False,False,False,True,False,False,0.0,0
98033892,13,2,600.0,flat,120.0,True,3,2,False,good,False,True,5.0,False,False,False,False,False,True,True,True,0.0,1
34360243,23,1,750.0,flat,90.0,True,3,1,False,good,False,True,8.0,False,False,False,False,False,True,False,False,0.0,0
98033826,16,4,525.0,flat,63.0,True,2,1,False,good,False,False,8.0,False,False,False,False,False,True,False,False,0.0,0
98033746,34,1,700.0,flat,63.0,True,3,1,False,good,False,True,11.0,True,False,True,False,False,True,False,False,0.0,0
98033683,5,2,800.0,flat,70.0,True,3,1,False,good,False,False,11.0,True,False,False,False,False,True,False,False,0.0,0
87028578,49,4,650.0,flat,80.0,True,3,1,False,good,False,True,8.0,False,False,False,False,False,True,False,False,0.0,0
98033308,11,6,850.0,flat,80.0,True,3,1,False,good,False,True,11.0,False,False,False,False,False,True,False,False,0.0,0
94464138,19,5,2300.0,flat,100.0,True,3,2,False,good,False,True,23.0,False,False,False,False,False,True,False,False,0.0,0
98033222,29,1,700.0,flat,80.0,True,4,2,False,good,False,True,9.0,False,False,False,False,False,True,False,False,0.0,0
98033193,23,1,575.0,flat,87.0,True,3,1,False,good,False,False,7.0,False,False,False,False,False,True,False,False,0.0,0
98033135,12,4,650.0,flat,95.0,True,3,1,False,good,False,True,7.0,False,False,False,False,False,True,False,False,0.0,0
98033071,8,0,1800.0,flat,75.0,True,2,2,False,good,False,True,24.0,False,False,False,False,False,True,True,True,0.0,1
98033077,34,14,2000.0,penthouse,70.0,True,2,2,False,good,False,True,29.0,False,False,False,False,False,True,True,True,0.0,1
98033068,30,4,1400.0,flat,83.0,True,2,1,False,good,False,True,17.0,False,False,False,False,False,True,False,False,0.0,0
94655014,24,3,1200.0,flat,130.0,True,4,2,False,good,False,True,9.0,False,False,False,False,False,True,False,False,0.0,0
98032752,40,6,1100.0,flat,82.0,True,3,1,True,good,False,True,13.0,False,False,False,False,False,True,False,False,0.0,0
97530419,22,5,850.0,flat,76.0,False,3,1,True,good,False,True,11.0,False,False,False,False,False,True,False,False,0.0,0
98032655,14,1,650.0,flat,95.0,True,3,1,False,good,False,True,7.0,False,False,False,False,False,True,False,False,0.0,0
98032524,10,3,690.0,flat,35.0,True,1,1,False,good,False,True,20.0,False,False,False,False,False,True,False,False,0.0,0
98032526,12,1,650.0,flat,95.0,True,3,1,False,good,False,True,7.0,False,False,False,False,False,True,False,False,0.0,0
97023139,20,2,540.0,flat,107.0,True,3,2,False,good,False,True,5.0,False,False,False,False,False,True,False,False,0.0,1
97975464,9,3,1300.0,flat,140.0,True,5,2,False,good,False,True,9.0,False,False,False,False,False,True,False,False,0.0,0
98032125,19,4,500.0,flat,90.0,True,3,1,False,good,False,False,6.0,False,False,False,False,False,True,False,False,0.0,2
98032050,54,6,3700.0,penthouse,220.0,True,4,3,True,good,False,True,17.0,False,False,False,False,False,True,True,True,0.0,0
98031745,30,5,1100.0,flat,120.0,True,4,2,False,good,False,True,9.0,True,False,False,False,False,True,False,False,0.0,0
98031716,26,8,950.0,duplex,109.0,True,3,2,False,good,False,True,9.0,False,False,False,False,False,True,False,False,0.0,0
98031217,18,1,1100.0,flat,150.0,True,5,2,False,good,False,False,7.0,False,False,False,False,False,True,False,False,0.0,0
98030842,29,2,950.0,flat,85.0,True,3,2,False,good,False,True,11.0,False,False,False,False,False,True,False,False,0.0,0
87994684,20,2,500.0,flat,75.0,True,3,1,False,good,False,False,7.0,False,False,False,False,False,True,False,False,0.0,0
98030765,25,4,700.0,flat,77.0,True,3,1,True,good,False,True,9.0,False,False,False,False,False,True,False,False,0.0,0
97270496,23,4,1600.0,flat,160.0,True,4,2,False,good,False,True,10.0,False,False,False,False,False,True,False,False,0.0,0
98030681,26,1,1099.0,flat,120.0,True,4,2,True,good,False,True,9.0,True,False,False,False,False,True,False,False,0.0,0
98030530,36,2,1000.0,flat,105.0,True,3,2,False,good,False,True,10.0,False,False,False,False,False,True,False,False,0.0,0
98030549,15,3,1200.0,flat,85.0,True,3,2,False,good,False,True,14.0,False,False,False,False,False,True,False,False,0.0,0
98030448,17,4,800.0,flat,110.0,True,3,1,True,good,False,True,7.0,True,False,False,False,False,True,False,False,0.0,0
95826372,30,1,3000.0,flat,160.0,True,4,3,False,good,False,True,19.0,False,False,False,False,False,True,False,False,0.0,0
94219827,18,3,675.0,flat,105.0,True,2,1,False,good,False,False,6.0,False,False,False,False,False,True,False,False,0.0,0
98030377,37,0,2000.0,chalet,310.0,False,4,3,False,good,False,False,6.0,False,True,False,False,False,True,False,False,0.0,2
98030293,67,3,1200.0,flat,100.0,True,4,1,True,good,False,False,12.0,False,False,False,False,False,True,False,False,0.0,0
98030182,11,4,1150.0,flat,125.0,True,4,2,False,good,False,True,9.0,False,False,False,False,False,True,False,False,0.0,0
98030046,19,2,950.0,flat,125.0,True,3,2,False,good,False,True,8.0,False,False,False,False,False,True,False,False,0.0,0
98030021,17,4,900.0,flat,52.0,True,1,1,False,good,False,True,17.0,False,False,False,False,False,True,False,False,0.0,0
98029971,38,3,800.0,flat,78.0,True,2,1,False,good,False,True,10.0,False,False,False,False,False,True,False,False,0.0,0
98013318,25,1,1300.0,flat,124.0,True,3,2,True,good,False,True,10.0,False,False,False,False,False,True,False,False,0.0,0
97793284,28,3,1200.0,flat,80.0,True,2,1,False,good,False,True,15.0,False,False,False,False,False,True,False,False,0.0,0
98029876,8,1,1100.0,flat,110.0,True,3,1,False,good,False,True,10.0,False,False,False,False,False,True,False,False,0.0,0
