propertyCode,price,numPhotos,floor,rooms,bathrooms,size,parkingSpacePrice,exterior,hasParkingSpace,isParkingSpaceIncludedInPrice,hasLift,hasPlan,has360,has3DTour,hasVideo,propertyType,direction
95652778,750.0,9,5,2,2,69.0,0.0,True,True,True,True,False,False,False,False,flat,central
98338325,900.0,19,6,2,2,91.0,0.0,True,False,False,True,True,False,False,False,flat,central
98338168,650.0,16,1,3,1,82.0,0.0,True,False,False,True,False,False,False,True,flat,north
98337913,850.0,18,7,4,2,110.0,0.0,True,False,False,True,False,False,False,False,flat,central
98337815,950.0,12,7,3,2,100.0,0.0,True,False,False,True,False,False,False,False,flat,central
98337808,800.0,14,5,2,1,42.0,0.0,True,False,False,False,False,False,False,True,penthouse,central
92395656,900.0,14,3,2,1,88.0,0.0,True,False,False,True,False,False,False,False,flat,central
98337491,750.0,14,1,2,1,63.0,0.0,True,False,False,True,False,False,False,False,flat,central
96028583,799.0,52,0,4,2,130.0,0.0,True,False,False,False,True,False,False,True,flat,central
98337191,750.0,21,3,4,2,90.0,0.0,True,False,False,False,False,False,False,False,flat,central
98337182,720.0,28,3,4,1,74.0,0.0,True,False,False,True,True,True,False,True,flat,central
98337170,1200.0,7,2,3,2,118.0,0.0,True,False,False,False,False,False,False,False,flat,central
96124783,700.0,10,3,3,2,130.0,0.0,True,False,False,True,False,False,False,False,flat,west
98337035,1000.0,20,8,2,2,104.0,0.0,True,False,False,True,False,False,False,False,flat,central
98336938,600.0,19,3,4,2,110.0,0.0,True,False,False,False,False,False,False,False,flat,central
98083683,550.0,15,4,2,1,69.0,0.0,True,False,False,True,False,False,False,False,flat,central
95923814,480.0,13,4,2,2,75.0,0.0,True,True,True,True,False,False,False,False,flat,central
98337011,1100.0,17,1,4,2,110.0,0.0,True,False,False,True,False,False,False,False,flat,central
98336985,650.0,28,3,2,2,75.0,0.0,True,False,False,True,False,False,False,False,flat,central
96096675,690.0,29,0,2,2,76.0,0.0,False,True,True,False,False,False,False,False,chalet,north
94077488,900.0,28,3,3,2,111.0,0.0,True,False,False,True,False,False,False,False,flat,central
98336605,1500.0,39,2,3,2,104.0,0.0,True,False,False,True,True,False,False,False,flat,central
98336630,2000.0,56,11,4,2,170.0,0.0,True,True,True,True,False,False,False,False,duplex,central
98336623,800.0,26,5,2,2,58.0,0.0,True,False,False,False,False,False,False,False,flat,central
98336502,799.0,28,4,2,2,75.0,50.0,True,True,False,True,True,False,False,True,flat,central
95154679,400.0,22,2,1,1,45.0,0.0,True,False,False,True,False,False,False,False,flat,south
86417982,400.0,5,4,0,1,20.0,0.0,False,False,False,False,False,False,False,False,studio,central
98336441,1250.0,12,3,0,1,47.0,0.0,True,False,False,True,False,False,False,False,studio,central
98336281,1450.0,28,4,2,2,85.0,0.0,True,False,False,True,False,False,False,False,penthouse,central
39130727,850.0,21,1,2,2,80.0,0.0,True,True,True,True,False,False,False,False,flat,central
89325528,1050.0,30,5,2,2,105.0,0.0,True,True,True,True,False,False,False,False,flat,central
98336139,1100.0,27,15,3,2,97.0,0.0,True,False,False,True,False,False,False,False,flat,central
